Binomial	ID	year	popvalue
Halichoerus_grypus	97	1987	38724
Canis_lupus	105	1987	0.959
Canis_lupus	106	1987	2.654
Canis_lupus	108	1987	0.958
Canis_lupus	110	1987	1.011
Canis_lupus	111	1987	0.901
Canis_lupus	113	1987	1.092
Rangifer_tarandus	131	1987	27
Odocoileus_virginianus	151	1987	1.7
Rangifer_tarandus	180	1987	66523
Alces_americanus	182	1987	118123
Rangifer_tarandus	788	1987	249
Rangifer_tarandus	789	1987	67264
Blarina_brevicauda	49	1988	12.4
Balaenoptera_physalus	87	1988	0.05
Megaptera_novaeangliae	88	1988	21.34
Balaenoptera_musculus	89	1988	9.99
Megaptera_novaeangliae	90	1988	0.05
Halichoerus_grypus	97	1988	44490
Balaenoptera_musculus	99	1988	0
Globicephala_melas	102	1988	0.03
Lagenorhynchus_acutus	103	1988	0.17
Delphinus_delphis	104	1988	0.11
Canis_lupus	105	1988	1.124
Canis_lupus	106	1988	1.563
Canis_lupus	108	1988	0.747
Canis_lupus	111	1988	1.128
Canis_lupus	113	1988	1.093
Odocoileus_virginianus	151	1988	2.26
Rangifer_tarandus	180	1988	70909
Alces_americanus	182	1988	122497
Rangifer_tarandus	788	1988	216
Rangifer_tarandus	789	1988	71782
Peromyscus_maniculatus	35	1989	86
Tamiasciurus_hudsonicus	36	1989	1.11
Myodes_gapperi	40	1989	3
Sorex_cinereus	44	1989	1
Napaeozapus_insignis	45	1989	1
Tamias_striatus	46	1989	46
Blarina_brevicauda	47	1989	15
Blarina_brevicauda	49	1989	4.6
Balaenoptera_physalus	87	1989	0.03
Megaptera_novaeangliae	88	1989	30.16
Balaenoptera_musculus	89	1989	17.05
Megaptera_novaeangliae	90	1989	0.09
Halichoerus_grypus	97	1989	48331
Balaenoptera_musculus	99	1989	0
Globicephala_melas	102	1989	0.04
Lagenorhynchus_acutus	103	1989	0.1
Delphinus_delphis	104	1989	0.16
Canis_lupus	105	1989	0.997
Canis_lupus	106	1989	1.082
Canis_lupus	107	1989	2.18
Canis_lupus	108	1989	0.217
Canis_lupus	109	1989	0.41
Canis_lupus	110	1989	1.568
Canis_lupus	111	1989	0.72
Canis_lupus	113	1989	1.094
Rangifer_tarandus	131	1989	14
Odocoileus_virginianus	151	1989	1.95
